NPC,ID Dec,ID Hex,,,,,,,,Model Size?,,,Base Level,Base HP,Base STR,Base INT,Base VIT,XP,Base Atk,Base MAtk,Diz,Base Def,Base MDef,STR Level,INT Level,VIT Level,Atk Level,MAtk Level,Def Level,MDef Level,,Diz Res%,Knock Atk%?,Stun Attack?,Knock Res%,,Crit Atk%,Crit Res%,,Flying?,,Fire Res%,Water Res%,Earth Res%,Wind Res%,Light Res%,Dark Res%,Phys Res%,Love Res%,Psn Res%,Seal Res%,Par Res%,Slp Res%,Ftg Res%,Sick Res%,Fnt Res%,Drain Res%,,Friendliness,,Drop 1,Drop 2,Drop 3,Drop 4,Scarcity 1,Scarcity 2,Scarcity 3,Scarcity 4,,,,,,,,,,,EVs (VIT INT STR HP),Produce,,Produce Chance,Upgradable
Orc Hunter,51,0033,109.99%,11,100.00%,100.00%,100.00%,100.00%,109.99%,160,00 03 00 00,6,17,512,65,60,50,182,87,30,10,75,45,200,180,180,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,9.99%,-125.00%,0.00%,0.00%,0.00%,0.00%,9.99%,39.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,20,1,Arrowhead,Gunpowder,Recovery Potion,Stick,40,140,80,70,00 01 00 04,50,700,00 00 BF F4,02 00 00 00,03 0D 03 1D,00 00 00 00,00 00 01 9F,00 00 01 01,00 9D 01 C6,00 01 00 00,,0,,No
Goblin,52,0034,89.99%,10,117.99%,100.00%,100.00%,120.00%,95.00%,150,00 04 00 00,10,5,225,30,22,18,40,35,5,10,15,5,209,192,196,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,1.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,1,Blade Shard,Glue,Old Bandage,Onigiri,160,2,20,80,00 01 00 05,52,350,00 00 7F F8,01 00 01 00,03 1F 03 1E,00 00 00 00,00 00 01 A2,02 02 01 01,00 63 01 1C,00 00 00 01,,0,,No
Hobgoblin,53,0035,101.98%,13,109.99%,100.00%,100.00%,109.99%,114.99%,160,00 05 00 00,5,49,1920,211,140,180,690,262,70,15,205,142,200,160,170,100,100,100,100,100,20.00%,104.98%,0.00%,0.00%,100.00%,2.98%,7.98%,00 26 40 00,0,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,18,1,Blade Shard,Glue,Silk Cloth,Onigiri,100,120,80,80,00 01 00 06,52,350,00 00 7F F8,02 00 01 00,03 1F 03 34,00 00 00 00,00 00 01 A2,02 02 01 01,01 18 02 1D,00 00 00 01,,0,,No
Goblin Archer,54,0036,89.99%,10,100.00%,100.00%,100.00%,100.00%,95.00%,150,00 06 00 00,9,5,165,25,28,15,42,32,6,5,9,9,200,175,185,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,1,Arrowhead,Gunpowder,Old Bandage,Recovery Potion,60,3,100,80,00 01 00 07,54,650,00 00 BF F4,01 00 01 00,03 36 03 35,00 00 00 00,00 00 01 A5,00 00 02 02,00 63 01 1C,00 01 00 00,,0,,No
Goblin Sniper,55,0037,101.98%,13,89.99%,100.00%,100.00%,89.99%,114.99%,160,00 07 00 00,5,49,1780,198,168,168,680,220,82,15,185,155,200,176,166,100,100,100,100,100,20.00%,100.00%,0.00%,0.00%,100.00%,1.98%,7.98%,00 26 40 00,0,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,9.99%,39.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,18,1,Arrowhead,Gunpowder,Silk Cloth,Healing Potion,60,120,90,80,00 01 00 08,54,700,00 00 BF F4,02 00 01 00,03 36 03 47,00 00 00 00,00 00 01 A5,03 03 02 02,01 18 02 1D,00 01 00 00,,0,,No
Minotaur,56,0038,100.00%,20,79.98%,100.00%,79.98%,79.98%,150.00%,260,00 08 00 00,8,50,2200,248,95,200,720,282,5,20,200,40,200,150,188,110,100,110,60,102,29.98%,104.98%,1.98%,39.99%,0.00%,2.98%,29.98%,00 4B 31 C7,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,14,2,Hammer Piece,Devil Horn,The Protein,,150,3,4,,00 01 00 09,56,250,00 00 78 DC,00 01 01 00,03 49 03 48,00 00 00 00,00 00 01 A9,02 02 01 01,01 18 02 1D,00 00 01 00,,0,,No
Minotaur King,57,0039,109.99%,25,89.99%,100.00%,100.00%,100.00%,159.99%,260,00 09 00 00,5,121,10200,758,198,350,6150,990,344,30,550,480,271,120,235,112,100,110,50,105,79.98%,104.98%,1.98%,39.99%,0.00%,5.98%,50.00%,00 4B 31 C7,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,29.98%,0.00%,0.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,100.00%,0.00%,0,14,2,Hammer Piece,Devil Horn,The Protein,,220,120,40,,00 01 00 0A,56,250,00 00 7F F8,00 01 02 00,03 49 03 5B,00 00 00 00,00 00 01 A9,02 02 01 01,01 C0 01 44,00 00 02 00,,0,,No
Daemon,58,003A,100.00%,14,120.00%,100.00%,100.00%,129.98%,120.00%,170,00 0A 00 00,5,54,2000,210,184,188,782,252,121,8,204,148,200,188,198,100,100,100,100,100,29.98%,100.00%,0.00%,0.00%,79.98%,1.98%,20.00%,00 2D 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,50.00%,0.00%,0.00%,20.00%,9.99%,9.99%,9.99%,9.99%,9.99%,50.00%,29.98%,0,12,1,Devil Horn,Devil Blood,,,4,120,,,00 01 00 0B,58,350,00 00 7F F8,01 01 01 01,03 5E 03 5D,00 00 00 00,00 00 01 B0,02 02 01 01,01 18 02 1D,00 01 01 00,,0,,No
Arch-Daemon,59,003B,120.00%,16,129.98%,109.99%,109.99%,150.00%,120.00%,175,00 14 00 00,3,118,7728,505,380,392,6200,925,788,8,660,633,231,226,241,100,100,100,100,103,59.99%,100.00%,0.00%,0.00%,0.00%,2.98%,39.99%,00 34 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,200.00%,0.00%,0.00%,20.00%,50.00%,20.00%,20.00%,20.00%,20.00%,75.00%,29.98%,0,5,1,Devil Horn,Devil Blood,,,120,160,,,00 01 00 0C,58,350,00 00 7F F8,01 01 01 01,03 5E 03 70,00 00 00 00,00 00 01 B0,04 04 02 02,01 C0 01 44,00 01 01 00,,0,,No
Little Mage,60,003C,79.98%,10,79.98%,79.98%,100.00%,79.98%,120.00%,160,00 20 00 00,7,49,1900,160,200,160,710,150,178,10,58,210,181,220,164,100,103,70,130,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,25.00%,-100.00%,9.99%,9.99%,9.99%,9.99%,0.00%,-100.00%,0.00%,29.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,18,1,Magic Powder,Magic Crystal,Small Crystal,Medicine Bread,60,180,2,5,00 01 00 0D,60,450,00 00 FF F0,01 00 01 02,03 73 03 72,00 00 00 00,00 00 01 BA,01 01 02 02,01 18 02 1D,00 01 00 00,,0,,No
Little Wizard,61,003D,80.98%,10,79.98%,79.98%,100.00%,79.98%,120.00%,160,00 27 00 00,7,71,3000,200,350,220,1650,450,332,10,204,462,167,230,153,100,103,80,120,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,-100.00%,25.00%,25.00%,9.99%,9.99%,9.99%,0.00%,-100.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,14,1,Magic,Magic Crystal,Small Crystal,Accessory Bread,140,100,3,5,00 01 00 0E,60,400,00 00 FF F0,01 00 01 02,03 73 03 89,00 00 00 00,00 00 01 BA,05 01 04 00,01 67 02 92,00 02 00 00,,0,,No
Little Emperor,62,003E,81.98%,15,89.99%,89.99%,100.00%,89.99%,120.00%,180,00 2D 00 00,7,116,6400,300,570,380,6100,608,510,10,420,880,168,264,228,100,103,80,120,95,9.99%,100.00%,0.00%,0.00%,20.00%,0.98%,4.98%,00 23 40 00,0,0,9.99%,9.99%,9.99%,9.99%,25.00%,25.00%,0.00%,-100.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,12,1,Magic,Magic Crystal,Small Crystal,Medicine Bread,60,100,4,60,00 01 00 0F,60,600,00 00 FF F0,01 01 01 02,03 73 03 8A,00 00 00 00,00 00 01 BA,07 01 06 00,01 C0 01 44,00 03 00 00,,0,,No
Troll,63,003F,109.99%,22,79.98%,89.99%,100.00%,100.00%,150.00%,170,00 37 00 00,10,31,1480,180,70,84,420,188,15,18,140,5,243,200,222,108,80,110,60,102,50.00%,100.00%,0.00%,29.98%,0.00%,2.98%,20.00%,00 41 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,18,2,Giant's Nail,Giant's Gloves,,,160,2,,,00 01 00 10,63,230,00 00 78 DC,01 00 01 00,03 8C 03 8B,00 00 00 00,00 00 01 CB,02 02 01 01,00 AF 01 E6,00 00 01 00,,0,,No
Titan,64,0040,120.00%,22,84.99%,95.00%,100.00%,100.00%,159.99%,200,00 3A 00 00,8,87,4880,480,150,310,1980,450,70,30,412,256,200,150,180,110,80,120,70,105,70.00%,100.00%,0.00%,39.99%,0.00%,3.98%,29.98%,00 4B 40 00,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,10,2,Giant's Nail,Giant's Gloves,Blue Giant's Glove,,80,16,120,,00 01 00 11,63,230,00 00 78 DC,00 00 01 00,03 8C 03 9C,00 00 00 00,00 00 01 CB,02 02 01 01,01 67 02 92,00 00 02 00,,0,,No
Hammer Troll,65,0041,109.99%,22,100.00%,100.00%,100.00%,100.00%,150.00%,180,00 3B 00 00,10,62,3820,310,98,260,1050,412,152,25,203,48,200,150,160,110,100,110,60,105,59.99%,100.00%,0.00%,29.98%,0.00%,2.98%,25.00%,00 4B 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,16,2,Giant's Nail,Giant's Gloves,Hammer Piece,,80,80,120,,00 01 00 12,65,250,00 00 78 DC,01 02 01 00,03 9E 03 9D,00 00 00 00,00 00 01 CE,01 01 01 01,01 49 02 53,00 00 01 00,,0,,No
Gigantes,66,0042,120.00%,22,100.00%,100.00%,100.00%,100.00%,159.99%,200,00 3C 00 00,8,93,6500,518,215,280,3500,500,3,25,250,125,200,160,222,113,100,120,70,108,79.98%,100.00%,0.00%,39.99%,0.00%,4.98%,45.00%,00 50 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,10,2,Giant's Nail,Giant's Gloves,Hammer Piece,Thick Stick,80,100,140,100,00 01 00 13,65,250,00 00 78 DC,01 02 01 01,03 9E 03 AD,00 00 00 00,00 00 01 CE,01 01 01 01,01 A4 01 5B,00 00 02 00,,0,,No
Ant,67,0043,59.99%,8,136.99%,109.99%,100.00%,139.99%,79.98%,100,00 3D 00 00,1,2,30,7,5,5,3,9,3,3,4,4,207,176,176,100,100,95,100,95,0.00%,50.00%,0.00%,0.00%,50.00%,0.98%,4.98%,00 19 1C 71,0,0,0.00%,0.00%,9.99%,-125.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,79.98%,9.99%,9.99%,9.99%,0.00%,0,20,0,Insect Carapace,Pretty Carapace,Insect Jaw,Lumber,100,2,30,70,00 00 00 14,67,600,00 00 B1 BC,01 00 00 00,03 B1 03 B0,00 00 00 00,00 00 01 D0,00 00 00 00,00 45 01 0F,00 00 00 01,Insect Carapace,0,100.00%,No
Killer Ant,68,0044,100.00%,10,139.99%,120.00%,109.99%,139.99%,100.00%,120,00 3E 00 00,1,16,550,66,24,72,180,83,18,5,86,31,190,150,210,100,100,95,100,97,0.00%,50.00%,0.00%,0.00%,125.00%,0.98%,4.98%,00 1C 23 8E,0,0,0.00%,0.00%,9.99%,-125.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,79.98%,20.00%,20.00%,20.00%,0.00%,0,25,0,Insect Carapace,Pretty Carapace,Insect Jaw,Lumber,80,160,20,150,00 00 00 15,67,600,00 00 B1 BC,01 00 00 00,03 B1 03 C1,00 00 00 00,00 00 01 D0,01 01 01 01,00 9D 01 C6,00 00 00 02,Pretty Carapace,0,100.00%,No
Hornet,69,0045,79.98%,10,170.00%,109.99%,100.00%,170.00%,100.00%,140,00 3F 00 00,1,17,520,69,60,56,184,76,25,10,68,42,200,200,150,100,100,95,100,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,1,-50.00%,0.00%,0.00%,-50.00%,0.00%,0.00%,0.00%,0.00%,100.00%,25.00%,9.99%,79.98%,9.99%,9.99%,9.99%,0.00%,0,20,0,Insect Carapace,Pretty Carapace,Insect Jaw,Honey,70,100,50,70,00 00 00 16,69,600,00 00 BF F4,01 00 00 00,03 C4 03 C3,00 00 00 00,00 00 01 D4,01 01 01 01,00 9D 01 C6,00 00 00 01,Honey,0,100.00%,No
Hornet Queen,70,0046,139.99%,15,170.00%,109.99%,100.00%,170.00%,100.00%,160,00 40 00 00,1,68,2310,238,300,186,980,410,184,10,280,220,259,244,174,100,100,95,100,98,20.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,1,-25.00%,0.00%,0.00%,-25.00%,0.00%,0.00%,0.00%,0.00%,100.00%,50.00%,9.99%,79.98%,20.00%,20.00%,20.00%,0.00%,0,18,0,Paralysis Poison,Pretty Carapace,Insect Jaw,Honey,90,60,100,80,00 00 00 17,69,600,00 00 BF F4,00 00 00 00,03 C4 03 D4,00 00 00 00,00 00 01 D4,01 01 01 01,01 49 02 53,00 00 00 02,Honey,0,100.00%,No
Spider,71,0047,89.99%,10,150.00%,109.99%,100.00%,159.99%,120.00%,90,00 41 00 00,1,11,212,48,40,40,89,89,56,5,82,15,200,187,180,100,100,95,100,90,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 19 2A AA,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,100.00%,79.98%,9.99%,9.99%,9.99%,0.00%,0,20,0,Spider's Thread,Pretty Thread,Insect Jaw,,160,2,80,,00 00 00 18,71,600,00 00 BF F4,00 00 00 00,03 D7 03 D6,00 00 00 00,00 00 01 D7,00 00 00 00,00 8B 01 2F,00 00 00 01,Spider's Thread,0,100.00%,No
Hell Spider,72,0048,139.99%,12,150.00%,109.99%,100.00%,159.99%,120.00%,90,00 42 00 00,1,89,4000,360,280,320,3000,390,460,5,284,290,208,234,156,100,100,95,100,95,29.98%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 1C 2A AA,0,0,0.00%,0.00%,9.99%,-50.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,100.00%,79.98%,20.00%,20.00%,20.00%,0.00%,0,20,0,Spider's Thread,Pretty Thread,Insect Jaw,,100,160,80,,00 00 00 19,71,600,00 00 BF F4,00 00 00 00,03 D7 03 E6,00 00 00 00,00 00 01 D7,00 00 00 00,01 A4 01 5B,00 00 00 02,Pretty Thread,0,100.00%,No
Beetle,73,0049,70.00%,12,89.99%,89.99%,100.00%,129.98%,120.00%,140,00 43 00 00,1,2,80,10,2,4,6,13,2,12,5,1,178,120,150,100,100,120,80,90,0.00%,100.00%,0.00%,20.00%,100.00%,7.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,0.00%,0.00%,0.00%,0.00%,0,18,2,Insect Horn,Insect Carapace,Pretty Carapace,,160,60,2,,00 01 00 1A,73,380,00 00 78 DC,00 01 01 00,03 E8 03 E7,00 00 00 00,00 00 01 D9,03 03 03 03,00 45 01 0F,01 00 00 00,Insect Horn,0,100.00%,No
Heracles,74,004A,89.99%,10,89.99%,89.99%,100.00%,129.98%,150.00%,160,00 44 00 00,1,65,2400,262,120,320,978,356,280,15,356,104,176,150,255,100,100,170,30,80,32.98%,100.00%,0.00%,20.00%,0.00%,17.99%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,0.00%,0.00%,0.00%,0.00%,0,18,2,Rigid Horn,Insect Carapace,Pretty Carapace,,200,60,10,,00 01 00 1B,73,380,00 00 78 DC,00 02 02 00,03 E8 03 FA,00 00 00 00,00 00 01 D9,03 03 03 03,01 49 02 53,02 00 00 00,Rigid Horn,0,50.20%,No
Scorpion,75,004B,100.00%,11,102.98%,104.98%,100.00%,100.00%,139.99%,70,00 45 00 00,1,30,880,121,92,112,372,176,35,20,120,58,200,174,240,100,100,140,60,70,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 1E 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,100.00%,0.00%,0.00%,79.98%,0.00%,0.00%,0.00%,0.00%,0,20,1,Scorpion Tail,Scorpion Pincer,Insect Carapace,Pretty Carapace,160,4,50,40,00 00 00 1C,75,300,00 00 78 DC,01 01 00 00,03 FD 03 FC,00 00 00 00,00 00 01 DE,00 00 00 00,00 AF 01 E6,01 00 00 00,Scorpion Tail,0,100.00%,No
Death Stalker,76,004C,150.00%,15,104.98%,109.99%,100.00%,100.00%,139.99%,70,00 46 00 00,1,79,1680,275,180,402,1460,498,168,20,548,217,150,90,240,100,100,180,20,50,9.99%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,100.00%,0.00%,0.00%,79.98%,0.00%,0.00%,100.00%,0.00%,0,20,1,Scorpion Tail,Scorpion Pincer,Insect Carapace,Pretty Carapace,60,160,70,60,00 00 00 1D,75,300,00 00 78 DC,01 01 00 00,03 FD 04 0C,00 00 00 00,00 00 01 DE,00 00 00 00,01 67 02 92,02 00 00 00,Scorpion Tail,0,100.00%,No
Shadow Panther,77,004D,79.98%,17,100.98%,104.98%,100.00%,100.00%,120.00%,150,00 47 00 00,6,12,312,58,28,46,95,72,16,20,86,5,202,125,185,105,95,100,100,100,4.98%,100.00%,0.00%,9.99%,100.00%,2.98%,20.00%,00 24 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,50.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,29.98%,50.00%,0,14,1,Panther Claw,Fur,Quality Fur,,160,10,70,,00 01 00 1E,77,350,00 00 78 DC,01 00 01 00,04 0F 04 0E,00 00 00 00,00 00 01 E1,02 02 01 01,00 8B 01 2F,00 00 01 00,,0,,No
Blood Panther,78,004E,95.00%,19,100.98%,104.98%,100.00%,100.00%,120.00%,160,00 49 00 00,5,94,4500,485,190,342,3120,484,462,20,375,358,244,184,238,107,100,100,100,102,34.99%,100.00%,0.00%,9.99%,0.00%,6.98%,29.98%,00 2A 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,50.00%,0.00%,0.00%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,50.00%,100.00%,0,14,1,Magic Claw,Fur,Fur,Devil Blood,120,50,50,40,00 01 00 1F,77,350,00 00 78 DC,01 01 01 00,04 0F 04 1F,00 00 00 00,00 00 01 E1,02 02 01 01,01 A4 01 5B,00 00 02 00,,0,,No
Silver Wolf,79,004F,120.00%,15,109.99%,120.00%,100.00%,109.99%,120.00%,120,00 4A 00 00,10,21,620,90,68,70,196,103,28,10,83,35,220,211,168,102,100,100,100,105,4.98%,100.00%,0.00%,9.99%,100.00%,2.98%,20.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,14,1,Wolf Fang,Fur,Quality Fur,,160,80,40,,00 01 00 20,79,450,00 00 7F F8,01 00 01 00,04 21 04 20,00 00 00 00,01 01 01 E4,02 02 00 00,00 9D 01 C6,00 00 01 00,Wolf Fang,0,78.43%,No
Hunter Wolf,80,0050,139.99%,18,120.00%,129.98%,100.00%,109.99%,139.99%,125,00 4B 00 00,5,78,3980,340,200,304,1800,470,190,15,250,210,240,190,225,110,90,100,100,110,50.00%,100.00%,0.00%,20.00%,100.00%,5.98%,39.99%,00 26 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,12,1,Wolf Fang,Fur,Quality Fur,Gold Wolf Fang,100,80,80,90,00 01 00 21,79,450,00 00 7F F8,01 01 01 00,04 21 04 32,00 00 00 00,01 01 01 E4,02 02 00 00,01 67 02 92,00 00 02 00,Gold Wolf Fang,0,25.10%,No
Buffaloo,81,0051,100.00%,18,99.00%,100.00%,100.00%,100.00%,120.00%,150,00 4C 00 00,12,30,910,150,68,108,348,154,20,25,114,81,126,97,115,105,100,100,95,100,4.98%,100.00%,0.00%,0.00%,100.00%,6.98%,20.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,16,2,Bull's Horn,Bull's Horn,,,160,90,,,00 01 00 22,81,450,00 00 7F F8,00 01 01 00,04 34 04 33,00 00 00 00,00 00 01 E7,02 02 02 02,00 AF 01 E6,00 00 01 00,Bull's Horn,0,100.00%,No
Buffamoo,82,0052,100.00%,18,95.00%,100.00%,100.00%,100.00%,120.00%,150,00 4D 00 00,20,3,270,26,3,4,24,24,0,25,2,1,172,160,172,105,100,100,95,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,20.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,2,Milk (S),Milk (M),,,160,70,,,00 01 00 23,81,450,00 00 7F F8,00 00 00 00,04 34 04 47,00 00 00 00,00 00 01 E7,02 02 02 02,00 63 00 AA,00 00 00 01,Milk (S),0,100.00%,Yes
Weagle,83,0053,95.00%,11,134.99%,109.99%,100.00%,134.99%,109.99%,180,00 4E 00 00,10,6,250,32,34,4,54,31,7,15,17,30,276,266,275,100,100,100,100,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 25 40 00,1,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,18,1,Bird's Feather,Bird's Feather,Branch,Shining Seed,80,40,100,5,00 01 00 24,83,500,00 00 BF F4,00 00 01 01,04 49 04 48,00 00 00 00,00 00 01 EC,02 02 01 01,00 63 01 1C,00 01 00 00,Bird's Feather,0,100.00%,No
Blackbird,84,0054,100.00%,12,134.99%,109.99%,100.00%,134.99%,120.00%,200,00 4F 00 00,8,63,1980,270,242,170,912,370,176,15,294,198,240,190,202,100,100,100,100,98,9.99%,100.00%,0.00%,0.00%,100.00%,1.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,18,1,Black Bird Feather,Black Bird Feather,Stick,Branch,240,40,150,150,00 01 00 25,83,550,00 00 BF F4,00 00 02 01,04 49 04 5C,00 00 00 00,00 00 01 EC,02 02 01 01,01 49 02 53,00 02 00 00,Black Bird Feather,0,100.00%,No
Chipsqueek,85,0055,70.00%,8,100.00%,100.00%,100.00%,100.00%,70.00%,130,00 51 00 00,15,4,110,18,20,6,16,20,5,10,10,3,225,170,200,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,1.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,0.00%,0,20,1,Fur,Quality Fur,Branch,Stick,170,5,200,60,00 00 00 26,85,300,00 00 7F F8,01 00 00 01,04 5F 04 5E,00 00 00 00,00 00 01 F0,00 00 00 00,00 63 00 A1,00 00 00 01,Fur,0,100.00%,No
Furpy,86,0056,70.00%,10,100.00%,100.00%,100.00%,100.00%,70.00%,130,00 52 00 00,10,27,680,108,90,90,200,140,59,10,85,75,211,201,186,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,0.00%,0,18,1,Quality Puffy Fur,Quality Puffy Fur,Branch,Stick,190,60,250,70,00 00 00 27,85,300,00 00 7F F8,01 01 00 01,04 5F 04 6F,00 00 00 00,00 00 01 F0,00 00 00 00,00 AF 00 CF,00 00 00 02,Quality Puffy Fur,0,50.20%,No
Flower Blossom,87,0057,89.99%,10,97.00%,109.99%,109.99%,100.00%,89.99%,140,00 53 00 00,1,39,1498,132,180,115,560,205,260,10,147,175,218,248,162,100,105,80,120,96,29.98%,100.00%,0.00%,4.98%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,25.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,100.00%,9.99%,9.99%,9.99%,0.00%,0,20,1,Root,Plant Stem,Vine,Strong Vine,120,60,90,2,00 00 00 28,87,700,00 00 D5 48,00 00 00 01,04 72 04 71,00 00 00 00,00 00 01 F2,00 00 00 00,01 18 00 E6,00 01 00 00,Root,0,100.00%,No
Flower Lion,88,0058,89.99%,10,98.00%,109.99%,109.99%,100.00%,89.99%,140,00 54 00 00,1,30,890,116,132,80,360,44,96,10,70,70,200,230,180,100,105,80,120,96,14.99%,100.00%,0.00%,4.98%,100.00%,0.98%,4.98%,00 23 40 00,0,0,25.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,100.00%,9.99%,9.99%,9.99%,0.00%,0,18,1,Root,Plant Stem,Vine,Strong Vine,3,70,180,1,00 00 00 29,87,700,00 00 D5 48,00 00 00 01,04 72 04 84,00 00 00 00,00 00 01 F2,00 00 00 00,00 AF 01 E6,00 01 00 00,Plant Stem,0,100.00%,No
